Name,Alternate Name,Position,Team,Minutes,Age,Height,Weight,Offensive Role,Perimeter Shot,Grade,Off-Ball Movement,Grade,One on One,Grade,Finishing,Grade,Roll Gravity,Grade,Playmaking,Grade,Post Play,Grade,Perimeter Defense,Grade,Interior Defense,Grade,OReb,Grade,DReb,Grade,Usage,Grade,Self Creation,Grade,Year,Advanced Position
Kevin Durant,Kevin Durant,SF,OKC,"3,937",25,9-Jun,240,Tall Creators,0.992,A,0.705,B,1,A,0.991,A,0.927,A,0.967,A,0.948,A,0.632,B-,0.703,B,0.41,C-,0.948,A,0.983,High,0.5545,High,2013-14,Wing
Paul George,Paul George,SF,IND,"3,679",24,9-Jun,220,Secondary Creators,0.902,A,0.958,A,0.931,A,0.793,B+,0.857,A-,0.836,A-,0.353,D+,0.84,A-,0.786,B+,0.327,D,0.859,A-,0.954,High,0.4998,Medium,2013-14,Wing
Lebron James,LeBron James,PF,MIA,"3,665",29,8-Jun,250,Tall Creators,0.909,A,0.809,A-,0.994,A,0.998,A,0.942,A,0.976,A,0.967,A,0.741,B+,0.652,B-,0.439,C-,0.867,A-,0.981,High,0.6885,High,2013-14,Wing
Lance Stephenson,Lance Stephenson,SG,IND,"3,457",23,5-Jun,230,Tall Creators,0.718,B,0.665,B,0.94,A,0.978,A,0.403,C-,0.949,A,0.644,B-,0.418,C-,0.628,B-,0.571,C+,0.812,A-,0.829,Medium,0.5318,High,2013-14,Wing
Nicolas Batum,Nicolas Batum,SF,POR,"3,415",25,8-Jun,200,Secondary Creators,0.782,B+,0.975,A,0.952,A,0.937,A,0.775,B+,0.944,A,0.857,A-,0.491,C,0.575,C+,0.584,C+,0.919,A,0.799,Medium,0.3619,Medium,2013-14,Wing
Damian Lillard,Damian Lillard,PG,POR,"3,403",23,3-Jun,195,Primary Creators,0.965,A,0.913,A,0.973,A,0.468,C,0.541,C+,0.751,B+,0.185,F,0.308,D,0.612,B-,0.085,F,0.315,D,0.961,High,0.7011,High,2013-14,Guard
John Wall,John Wall,PG,WAS,"3,400",23,4-Jun,195,Primary Creators,0.757,B+,0.938,A,0.709,B,0.904,A,0.351,D+,0.982,A,0.214,D-,0.847,A-,0.445,C-,0.091,F,0.302,D,0.983,High,0.7885,High,2013-14,Guard
Blake Griffin,Blake Griffin,PF,LAC,"3,341",25,10-Jun,251,Versatile Bigs,0.398,D+,0.559,C+,0.884,A-,0.996,A,0.915,A,0.932,A,0.988,A,0.445,C-,0.757,B+,0.789,B+,0.957,A,0.966,High,0.4733,Medium,2013-14,Big
DeAndre Jordan,DeAndre Jordan,C,LAC,"3,312",25,11-Jun,265,Glue Guys,0.002,F,0.676,B,0.121,F,0.956,A,0.996,A,0.231,D-,0.723,B,0.423,C-,0.838,A-,0.994,A,0.954,A,0.576,Medium,0.1324,Low,2013-14,Big
DeMar DeRozan,DeMar DeRozan,SG,TOR,"3,299",24,7-Jun,216,Secondary Creators,0.678,B,0.701,B,0.906,A,0.924,A,0.736,B,0.948,A,0.848,A-,0.63,B-,0.329,D,0.271,D,0.379,D+,0.952,High,0.5034,High,2013-14,Wing
